_id,address,addressname,transactioncount,internaltxcount,addresstype
637605df2ae825a9f8877693,0x9dd35021d77c1de5ed50b9d788a2f68903a96b96,MEXC 1,276740,46838,External Owned Account
637605df2ae825a9f8877695,0x9f10d38e650184142c1c791e1b8d03e5f14ae47f,GC:MakerDAO,3,0,Consensus Node
637605df2ae825a9f88776a1,0xc85d740a01dacefaf4c2f9e6a6e35c6255a807a2,Wemade FeePayer,10,1,External Owned Account
637605df2ae825a9f88776a2,0xc8f2200d72fb47f4062cb36bc183e948b5db351b,Bithumb 6,184,180,External Owned Account
637605df2ae825a9f88776a4,0xcaab49742bacb49b1cbe27b035cdee5efde1bb5a,CN:Korea Economic Daily 1,68,5335405,Contract
637605e02ae825a9f88776ab,0xdc7dda990c08513962d5ae6dfb195b1f6879bfaf,Reward:Sygnum,112,0,External Owned Account
637605e02ae825a9f88776b2,0xeffa404dac6ba720002974c54d57b20e89b22862,KLAYstation: The Korea Economic Daily,166470,25272029,Contract
637605e12ae825a9f88776bb,0x0000000000000000000000000000000000000000,Null: 0x0000,1096,179368,Consensus Node
637605e12ae825a9f88776bc,0x000000000000000000000000000000000000dead,Null: 0xDead,13,4,External Owned Account
637605e12ae825a9f88776c2,0x0654070bc091446d9ef8735d280e0a251c45cf4c,GC: Sygnum2,2,0,External Owned Account
637605e12ae825a9f88776c3,0x0795aea6948fc1d31809383edc4183b220abd71f,KLAYstation: Jump Crypto-Everstake,1687,35611,Contract
637605e12ae825a9f88776de,0x2add905abfe85d32bcaf412f910f049e905a247b,CN: Sygnum2,11,20,Contract
637605e12ae825a9f88776e6,0x44c33a7acd1f63f53a7740ddf53636a9c45fa3eb,GC:Celltrion 2,2,0,External Owned Account
637605e12ae825a9f88776e8,0x45ed4bf508ca2061a8b4a16e278ea85a8f87a70b,GC:Hi Inc,2,0,Consensus Node
637605e12ae825a9f88776e9,0x473a7a05be7a0afc1510500ee6987b60233b9118,CN:Everrich 3,13,29,Contract
637605e12ae825a9f88776eb,0x49ee0e773da2635ba01a4f808c7f1a833a97c3d9,CN:Kakao Corp 2,39,69,Contract
637605e32ae825a9f88776f1,0x52d41ca72af615a1ac3301b0a93efa222ecc7541,GC:Ground X,4,0,Consensus Node
637605e32ae825a9f88776f2,0x53234eeab953fcf3a6b3346a84f3fd78fc3fec51,CN:Pearl Abyss,45,58026,Contract
637605e42ae825a9f887770d,0x79f83dbb81f6f706be3e8491b14790c30d03e659,Reward: LX International 3,8,16,External Owned Account
637605e42ae825a9f887770e,0x7b065fbb3a9b6e97f2ba788d63700bd4b8b408bc,GC:Korea Economic Daily 1,3,0,Consensus Node
637605e42ae825a9f8877710,0x7b9dc61d4c45fd8bc4667c4b758a9f12253f1070,OpenSea 721 Proxy,2,1282983,Contract
637605e42ae825a9f8877712,0x7dc0b0a1d41c90adf272de4410c307cfe3188615,CN:Kakao Entertainment 2,14,33,Contract
637605e42ae825a9f8877713,0x854ca8508c8be2bb1f3c244045786410cb7d5d0a,KLAY Genesis 5,2843,319,External Owned Account
637605e42ae825a9f8877717,0x99fb17d324fa0e07f23b49d09028ac0919414db6,GC: Baobab GroundX 1,0,0,External Owned Account
637605e52ae825a9f8877730,0xc180ca565b34b5b63877674f5fe647e7da079022,GC:Hanwha Systems,2,0,Consensus Node
637605e82ae825a9f887775f,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io 1,393885,42531,External Owned Account
637605e82ae825a9f887776b,0x1ddda8ca41f858446cbc5953f8da7f8ee356b922,OKX 2,21063,21041,External Owned Account
637605e82ae825a9f887776e,0x20685d7bbcb07dddbd8dbdc824c31fe2bfb31c92,GC: KrossLab,6,0,Consensus Node
637605e82ae825a9f887776f,0x276199434a04b2607d5e95670e5cb6a7e7f10f3d,Kokoa Deployer,24411,23884,External Owned Account
637605e82ae825a9f8877770,0x278e6332d69eed782784d21802e3504a64a16456,KGF(PoC),341,554,Contract
637605e82ae825a9f8877774,0x2bdd279522b8a0843831fbb94cfbb24a913597c5,GC:LG Electronics,2,0,Consensus Node
637605e82ae825a9f887777a,0x3761313aa02e289eb13a1761ffb4353878fe4e61,Reward: Amorepacific,566,13,External Owned Account
